task_code,status_code,wbs_id,user_field_297,task_name,start_date,end_date,delete_record_flag
Activity ID,Activity Status,WBS Code,BIM 4D Code,Activity Name,(*)Start,(*)Finish,Delete This Row
MI10300,Not Started,LINXS-1907.M.I,,LAWA APM TPSS #3 Utility Power Service,,1/15/2021 5:00:00 PM,
MI10400,Not Started,LINXS-1907.M.I,,"ConRAC Party Access Not Later than Aug 1, 2021",,8/1/2021 8:00:00 AM,
MI30100,Not Started,LINXS-1907.M.I,,LAWA APM TPSS #2 M&SF Utility Power Service,,6/12/2020 5:00:00 PM,
MI10200,Not Started,LINXS-1907.M.I,,LAWA APM TPSS #1 Utility Power Service,,10/20/2020 5:00:00 PM,
MI00500,Not Started,LINXS-1907.M.I,,Interface at Terminal Vertical Cores,1/4/2022 8:00:00 AM,,
MI00600,In Progress,LINXS-1907.M.I,,SHPO and FAA Approval of ATC #2,5/6/2018 8:00:00 AM,7/29/2019 5:00:00 PM,
MI00510,Completed,LINXS-1907.M.I,,Preliminary Design Audit - APM Systems (PDA 2),12/10/2018 8:00:00 AM,,
MI00520,Completed,LINXS-1907.M.I,,Intermediate Design Audit,5/16/2019,,
MI00530,Not Started,LINXS-1907.M.I,,Final Design Audit,8/30/2019 8:00:00 AM,,
MI00505,Completed,LINXS-1907.M.I,,Preliminary Design Audit - Vehicles (PDA 1),11/5/2018 8:00:00 AM,,
ME00140,Completed,LINXS-1907.M.E,,Enabling Project - **B3  New Temporary AOA Fence Line at 6150 Century Complex,,4/30/2018 5:00:00 PM,
ME00130,Completed,LINXS-1907.M.E,,Enabling Project - *R27  85% Roadway Design of New 96th Street,,4/26/2018 5:00:00 PM,
ME00120,Completed,LINXS-1907.M.E,,Enabling Project - *R28  85% Roadway Design of New ?D? Street,,4/26/2018 5:00:00 PM,
ME00200,Not Started,LINXS-1907.M.E,,Enabling Project - U24  UG Power Ductbanks from RS-N to APM POH Locations,,8/9/2019 5:00:00 PM,
ME00190,Not Started,LINXS-1907.M.E,,Enabling Project - U25  Power Vaults at APM POH Locations,,8/1/2019 5:00:00 PM,
ME00210,Not Started,LINXS-1907.M.E,,Enabling Project - R13  Arbor Vitae Street Widening,,12/1/2022 5:00:00 PM,
ME00150,Completed,LINXS-1907.M.E,,Enabling Project - R19  LAX City Bus Center Relocation,,7/1/2018 5:00:00 PM,
ME00170,Completed,LINXS-1907.M.E,,Enabling Project - R18  Parking Garage P4 Supplemental Ramp,,8/30/2018,
ME00110,Completed,LINXS-1907.M.E,,Enabling Project - R23  85% Roadway Design of New ?A? Street ? North,,4/27/2018 5:00:00 PM,
ME00160,Completed,LINXS-1907.M.E,,Enabling Project - U5  Relocate 24? Reclaimed Waterline,,4/19/2019,
ME00100,Completed,LINXS-1907.M.E,,Enabling Project - U1  Replace Domestic Water in the CTA,,4/1/2018 5:00:00 PM,
ME00220,Completed,LINXS-1907.M.E,,Enabling Project- D4 Demo in Manchester Square,,6/6/2019,
ME00180,Not Started,LINXS-1907.M.E,,Enabling Project - R20 Aviation Blvd & New 98th St Roadway Improvements,,6/1/2020 5:00:00 PM,
MM00205,Not Started,LINXS-1907.M.M,,Complete Design,,5/27/2020 5:00:00 PM,
MM00170,Completed,LINXS-1907.M.M,,Financial Close Date,,6/8/2018 8:00:00 AM,
MM00110,Completed,LINXS-1907.M.M,,Execution of Early Works,,3/19/2018 5:00:00 PM,
MM00200,Completed,LINXS-1907.M.M,,Start Construction,1/17/2019 8:00:00 AM,,
MM00220,Not Started,LINXS-1907.M.M,,Contract Adverse Weather Days,7/11/2023 8:00:00 AM,9/30/2023 5:00:00 PM,
MM00240,Not Started,LINXS-1907.M.M,,Final Completion,,7/10/2023 5:00:00 PM,
MM00100,Completed,LINXS-1907.M.M,,Selection Notice,3/19/2018 8:00:00 AM,,
MM00230,Not Started,LINXS-1907.M.M,,Passenger Service Availabilty (PSA),,4/17/2023 5:00:00 PM,
MM00120,Completed,LINXS-1907.M.M,,CEO Recommendation for Agreement Award,,2/21/2018 5:00:00 PM,
MM00130,Completed,LINXS-1907.M.M,,Developer Commercial Close Deadline,,4/2/2018 8:00:00 AM,
MM00140,Completed,LINXS-1907.M.M,,Board of Airport Commissioners Approval Award Recommendation,,4/5/2018,
MM00160,Completed,LINXS-1907.M.M,,City Council Approval,,4/11/2018,
MM00150,Completed,LINXS-1907.M.M,,Commercial Close,,4/11/2018,
MM00180,Completed,LINXS-1907.M.M,,Notice to Proceed 1 (NTP 1),,7/11/2018,
