task_code,status_code,wbs_id,task_name,start_date,end_date,user_field_833,delete_record_flag,,
Activity ID,Activity Status,WBS Code,Activity Name,(*)Start,(*)Finish,BIM 4D Code,Delete This Row,,
MI10300,Not Started,LINXS-1908.M.I,LAWA APM TPSS #3 Utility Power Service,,1/15/2021 17:00,,,,
MI10400,Not Started,LINXS-1908.M.I,"ConRAC Party Access Not Later than Aug 1, 2021",,8/1/2021 08:00,,,,
MI30100,Not Started,LINXS-1908.M.I,LAWA APM TPSS #2 M&SF Utility Power Service,,6/12/2020 17:00,,,,
MI10200,Not Started,LINXS-1908.M.I,LAWA APM TPSS #1 Utility Power Service,,10/20/2020 17:00,,,,
MI00500,Not Started,LINXS-1908.M.I,Interface at Terminal Vertical Cores,1/4/2022 08:00,,,,,
MI00600,In Progress,LINXS-1908.M.I,SHPO and FAA Approval of ATC #2,5/6/2018 08:00,9/3/2019 17:00,,,,
MI00510,Completed,LINXS-1908.M.I,Preliminary Design Audit - APM Systems (PDA 2),12/10/2018 08:00,,,,,
MI00520,Completed,LINXS-1908.M.I,Intermediate Design Audit,5/16/2019 00:00,,,,,
MI00530,Not Started,LINXS-1908.M.I,Final Design Audit,10/31/2019 08:00,,,,,
MI00505,Completed,LINXS-1908.M.I,Preliminary Design Audit - Vehicles (PDA 1),11/5/2018 08:00,,,,,
ME00140,Completed,LINXS-1908.M.E,Enabling Project - **B3  New Temporary AOA Fence Line at 6150 Century Complex,,4/30/2018 17:00,,,,
ME00130,Completed,LINXS-1908.M.E,Enabling Project - *R27  85% Roadway Design of New 96th Street,,4/26/2018 17:00,,,,
ME00120,Completed,LINXS-1908.M.E,Enabling Project - *R28  85% Roadway Design of New ?D? Street,,4/26/2018 17:00,,,,
ME00200,Not Started,LINXS-1908.M.E,Enabling Project - U24  UG Power Ductbanks from RS-N to APM POH Locations,,8/31/2019 08:00,,,,
ME00190,Not Started,LINXS-1908.M.E,Enabling Project - U25  Power Vaults at APM POH Locations,,8/31/2019 08:00,,,,
ME00210,Not Started,LINXS-1908.M.E,Enabling Project - R13  Arbor Vitae Street Widening,,12/1/2022 17:00,,,,
ME00150,Completed,LINXS-1908.M.E,Enabling Project - R19  LAX City Bus Center Relocation,,7/1/2018 17:00,,,,
ME00170,Completed,LINXS-1908.M.E,Enabling Project - R18  Parking Garage P4 Supplemental Ramp,,8/30/2018 00:00,,,,
ME00110,Completed,LINXS-1908.M.E,Enabling Project - R23  85% Roadway Design of New ?A? Street ? North,,4/27/2018 17:00,,,,
ME00160,Completed,LINXS-1908.M.E,Enabling Project - U5  Relocate 24? Reclaimed Waterline,,4/19/2019 00:00,,,,
ME00100,Completed,LINXS-1908.M.E,Enabling Project - U1  Replace Domestic Water in the CTA,,4/1/2018 17:00,,,,
ME00220,Completed,LINXS-1908.M.E,Enabling Project- D4 Demo in Manchester Square,,6/6/2019 00:00,,,,
ME00180,Not Started,LINXS-1908.M.E,Enabling Project - R20 Aviation Blvd & New 98th St Roadway Improvements,,6/1/2020 17:00,,,,
MM00205,Not Started,LINXS-1908.M.M,Complete Design,,6/25/2020 17:00,,,,
MM00170,Completed,LINXS-1908.M.M,Financial Close Date,,6/8/2018 08:00,,,,
MM00110,Completed,LINXS-1908.M.M,Execution of Early Works,,3/19/2018 17:00,,,,
MM00200,Completed,LINXS-1908.M.M,Start Construction,1/17/2019 08:00,,,,,
MM00220,Not Started,LINXS-1908.M.M,Contract Adverse Weather Days,7/1/2023 08:00,9/20/2023 17:00,,,,
MM00240,Not Started,LINXS-1908.M.M,Final Completion,,6/30/2023 17:00,,,,
MM00100,Completed,LINXS-1908.M.M,Selection Notice,3/19/2018 08:00,,,,,
MM00230,Not Started,LINXS-1908.M.M,Passenger Service Availabilty (PSA),,4/8/2023 17:00,,,,
MM00120,Completed,LINXS-1908.M.M,CEO Recommendation for Agreement Award,,2/21/2018 17:00,,,,
MM00130,Completed,LINXS-1908.M.M,Developer Commercial Close Deadline,,4/2/2018 08:00,,,,
MM00140,Completed,LINXS-1908.M.M,Board of Airport Commissioners Approval Award Recommendation,,4/5/2018 00:00,,,,
MM00160,Completed,LINXS-1908.M.M,City Council Approval,,4/11/2018 00:00,,,,
MM00150,Completed,LINXS-1908.M.M,Commercial Close,,4/11/2018 00:00,,,,
MM00180,Completed,LINXS-1908.M.M,Notice to Proceed 1 (NTP 1),,7/11/2018 00:00,,,,
MM00190,Completed,LINXS-1908.M.M,Notice to Proceed 2 (NTP 2),,1/16/2019 08:00,,,,
MM00165,Completed,LINXS-1908.M.M,Financial Close Deadline,,7/16/2018 17:00,,,,
MM00250,Not Started,LINXS-1908.M.M,Adverse Weather - Final Completion,,9/20/2023 17:00,,,,
MC00110,Completed,LINXS-1908.M.C,Project Work Initiation Meeting,,6/18/2018 17:00,,,,
MC00120,Completed,LINXS-1908.M.C,Design Initiation Meeting,,7/20/2018 17:00,,,,
MC00130,Completed,LINXS-1908.M.C,Construction Initiation Meeting,,4/1/2018 08:00,,,,
MC00140,Completed,LINXS-1908.M.C,Quality Work Initiation Meeting,,8/3/2018 17:00,,,,
MC00150,Completed,LINXS-1908.M.C,Safety and Security Work Initiation Meeting,,10/3/2018 00:00,,,,
MC00160,Completed,LINXS-1908.M.C,Environmental Work Initiation Meeting,,7/13/2018 17:00,,,,
MC00170,Completed,LINXS-1908.M.C,Revised Project Schedule,,6/27/2018 17:00,,,,
MC00180,Completed,LINXS-1908.M.C,Baseline Schedule Approved,,12/21/2018 17:00,,,,
KPI1000,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - APM Vehicle Design Complete,,10/25/2019 17:00,,,,
KPI1010,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - OS System Design Complete,,10/25/2019 17:00,,,,
KPI1020,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - First Article Vehicle Inspection & Testing Complete,,6/30/2020 17:00,,,,
KPI1030,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - Vehicle Manufacturing Complete,,3/24/2021 17:00,,,,
KPI1040,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - Vehicle Delivery Complete,,10/28/2021 17:00,,,,
KPI1050,Not Started,LINXS-1908.M.K,KPI - OS and Vehicle - Begin Vehicle Testing @ Site,,3/29/2022 17:00,,,,
KPI2100,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA West Station Substructure Design Complete,,11/15/2019 17:00,,,,
KPI2010,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA West Station Superstructure Design Complete,,12/19/2019 17:00,,,,
KPI2030,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA West Station Architectural Design Complete,,11/11/2019 17:00,,,,
KPI2200,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA Center Substructure Design Complete,,12/16/2019 17:00,,,,
KPI2210,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA Center Superstructure Design Complete,,11/14/2019 17:00,,,,
KPI2230,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA Center Architectural Design Complete,,11/14/2019 17:00,,,,
KPI2300,Not Started,LINXS-1908.M.K,KPI - Design - Stations - CTA East Substructure Design Complete,,9/10/2019 17:00,,,,
