task_code,status_code,wbs_id,target_drtn_hr_cnt,task_name,wbs_name,wbs_path,user_field_833,delete_record_flag,
Activity ID,Activity Status,WBS Code,Original Duration(h),Activity Name,(*)WBS Name,(*)WBS Path,BIM 4D Code,Delete This Row,
MI10300,Not Started,LINXS-Current-2-Des.M.I,0,LAWA APM TPSS #3 Utility Power Service,Interface Milestones,M.I,,,
MI10400,Not Started,LINXS-Current-2-Des.M.I,0,"ConRAC Party Access (NLT Date  Aug 1, 2021 Exh10B-Att2)",Interface Milestones,M.I,,,
MI30100,Not Started,LINXS-Current-2-Des.M.I,0,LAWA APM TPSS #2 M&SF Utility Power Service,Interface Milestones,M.I,,,
MI10200,Not Started,LINXS-Current-2-Des.M.I,0,LAWA APM TPSS #1 Utility Power Service,Interface Milestones,M.I,,,
MI00500,Not Started,LINXS-Current-2-Des.M.I,0,"Interface at Terminal Vertical Cores (NLT Date Dec 31, 2021 Exh10D-Att 2)",Interface Milestones,M.I,,,
MI00600,In Progress,LINXS-Current-2-Des.M.I,81,SHPO and FAA Approval of ATC #2,Interface Milestones,M.I,,,
MI00510,Completed,LINXS-Current-2-Des.M.I,0,Preliminary Design Audit - APM Systems (PDA 2),Interface Milestones,M.I,,,
MI00520,Completed,LINXS-Current-2-Des.M.I,0,Intermediate Design Audit,Interface Milestones,M.I,,,
MI00530,Not Started,LINXS-Current-2-Des.M.I,0,Final Design Audit,Interface Milestones,M.I,,,
MI00505,Completed,LINXS-Current-2-Des.M.I,0,Preliminary Design Audit - Vehicles (PDA 1),Interface Milestones,M.I,,,
ME00140,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - **B3  New Temporary AOA Fence Line at 6150 Century Complex,Enabling Project Milestones,M.E,,,
ME00130,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - *R27  85% Roadway Design of New 96th Street,Enabling Project Milestones,M.E,,,
ME00120,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - *R28  85% Roadway Design of New �D� Street,Enabling Project Milestones,M.E,,,
ME00200,Not Started,LINXS-Current-2-Des.M.E,0,Enabling Project - U24  UG Power Ductbanks from RS-N to APM POH Locations,Enabling Project Milestones,M.E,,,
ME00190,Not Started,LINXS-Current-2-Des.M.E,0,Enabling Project - U25  Power Vaults at APM POH Locations,Enabling Project Milestones,M.E,,,
ME00210,Not Started,LINXS-Current-2-Des.M.E,0,Enabling Project - R13  Arbor Vitae Street Widening,Enabling Project Milestones,M.E,,,
ME00150,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - R19  LAX City Bus Center Relocation,Enabling Project Milestones,M.E,,,
ME00170,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - R18  Parking Garage P4 Supplemental Ramp,Enabling Project Milestones,M.E,,,
ME00110,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - R23  85% Roadway Design of New �A� Street � North,Enabling Project Milestones,M.E,,,
ME00160,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - U5  Relocate 24� Reclaimed Waterline,Enabling Project Milestones,M.E,,,
ME00100,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project - U1  Replace Domestic Water in the CTA,Enabling Project Milestones,M.E,,,
ME00220,Completed,LINXS-Current-2-Des.M.E,0,Enabling Project- D4 Demo in Manchester Square,Enabling Project Milestones,M.E,,,
ME00180,Not Started,LINXS-Current-2-Des.M.E,0,Enabling Project - R20 Aviation Blvd & New 98th St Roadway Improvements,Enabling Project Milestones,M.E,,,
MM00205,Not Started,LINXS-Current-2-Des.M.M,0,Complete Design,Major Milestones,M.M,,,
MM00170,Completed,LINXS-Current-2-Des.M.M,0,Financial Close Date,Major Milestones,M.M,,,
MM00110,Completed,LINXS-Current-2-Des.M.M,0,Execution of Early Works,Major Milestones,M.M,,,
MM00200,Completed,LINXS-Current-2-Des.M.M,0,Start Construction,Major Milestones,M.M,,,
MM00220,Not Started,LINXS-Current-2-Des.M.M,82,Contract Adverse Weather Days,Major Milestones,M.M,,,
MM00240,Not Started,LINXS-Current-2-Des.M.M,0,Final Completion,Major Milestones,M.M,,,
MM00100,Completed,LINXS-Current-2-Des.M.M,0,Selection Notice,Major Milestones,M.M,,,
